,UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
237,1Darah,@1Darah1M,2018-05-08T03:38:27.000Z,"Sekitar Majlis Perasmian Kempen Derma Darah Mahasiswa Prihatin Universiti Awam Malaysia 2018 Pra-Ramadhan Bersama ANSARA
#JomDermaDarah
#ABDC2018

Tarikh: 8 Mei 2018 (Selasa)
Masa: 10.00 pagi
Tempat: Dewan Besar,... https://facebook.com/1Darah1Malaysia/posts/776984059170251…",,,,,,https://twitter.com/1Darah1M/status/993696606875803648
238,Tok Gajah,@JohnDaviddoff,2018-05-10T00:38:10.000Z,"@RTM_Malaysia
 duk sembang pasal derma darah. 
@tv3malaysia
 sembang hal bola. Woi bila nak puji kerajaaan baharu? Puji laaaaa!",,,,,,https://twitter.com/JohnDaviddoff/status/994376012849795072
239,ILPAPNT,@ilpapnt,2018-05-14T05:17:43.000Z,14052018 : ILPAPNT dengan kerjasama Hospital Taiping Kementerian Kesihatan Malaysia menganjurkan program derma darah bertempat di Dewan Besar ILPAPNT. Tujuan program ini dijalankan bagi memenuhi keperluan darah di hospital berkenaan.,,,,,,https://twitter.com/ilpapnt/status/995895914127642624
240,Ahmed Akmal,@ahmedakmal2409,2018-05-11T00:38:52.000Z,"Jom tunjukkan lagi sekali kuasa rakyat Malaysia dengan menjadi Hero dengan menderma darah di Pusat-pusat Derma Darah ANSARA yang berhampiran dengan anda

Temui saya di AEON Shah Alam",,,,,https://pbs.twimg.com/media/Dc4FdF2VQAA01fV?format=jpg&name=900x900,https://twitter.com/ahmedakmal2409/status/994738575865405440
241,1Darah,@1Darah1M,2018-05-10T07:14:48.000Z,"Sekitar Promosi Kempen Derma Darah Pra-Ramadhan Tahunan ANSARA kali ke-12 #ABDC2018 #JomDermaDarah

ABDC18 @ Selamat Pagi Malaysia, RTM
Date: 10 May 2018 (Thursday)
Call Time: 8am https://facebook.com/1Darah1Malaysia/posts/777844479084209…",,,1.0,,,https://twitter.com/1Darah1M/status/994475829739606016
242,1Darah,@1Darah1M,2018-05-15T08:01:15.000Z,"Lanjutan Kempen Derma Darah Pra-Ramadhan ANSARA kali ke-12 di Universiti Pertahanan Nasional Malaysia (UPNM) 
#ABDC2018 #JomDermaDarah #PerangiMitos https://facebook.com/1Darah1Malaysia/posts/780070588861598…",,,,1.0,,https://twitter.com/1Darah1M/status/996299456676016128
243,UniMAP,@PROUniMAP,2018-05-16T04:10:26.000Z,"Program Minggu Derma Darah Mahasiswa Prihatin Universiti Awam Malaysia dirasmikan oleh YBhg TNC HEPA UniMAP, Prof. Madya Dr Fo'ad Sakdan.
 **FAKTA MENARIK**
Sejumlah 7,388 orang pelajar UniMAP telah... https://facebook.com/UniversitiMalaysiaPerlis/posts/2316647901682542…",,,,,,https://twitter.com/PROUniMAP/status/996603757545828352
244,ukkokbm,@ukkokbm,2018-05-25T08:40:42.000Z,"ALOR GAJAH, 25 Mei 2018 - Sebanyak 247 beg darah telah berjaya dikumpul dan didermakan di dalam program JOM DERMA DARAH anjuran Persatuan Bulan Sabit Merah Malaysia, Chapter UiTM Cawangan Melaka dengan kerjasama Unit... https://facebook.com/uitmcmrasmi/posts/1027923790690089…",,,,,,https://twitter.com/ukkokbm/status/999933261412425728
245,Lee Botak,@Lee_Botak,2018-05-31T05:51:51.000Z,"Kemoen derma darah pun takut nak sertai.

Ni pulak nak lancar kempen derma bantu selamatkan Malaysia.

Khakkkkk puiiiiii

#Janji100Hari",,,,,,https://twitter.com/Lee_Botak/status/1002065096405811200
246,Megat Mohd Zamri,@mmzamri,2018-06-02T03:15:32.000Z,"2 perkara ttg Tabung Harapan. 1. Kn bagus kalo semangat menderma darah rakyat Malaysia setinggi mcm Tabung Harapan tu. cc 
@khairul_hafidz
 
2. Derma tu hukumnye sunat, tp bayo hutang hukumnye wajib..haha..prioriT kene tau jg tu.. ",😂,,,,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,https://twitter.com/mmzamri/status/1002750537085825024
247,Jeffrey Lau,@jeffreylautt,2018-06-07T12:11:29.000Z,"Kempen Derma Darah PPBM 2018/01 anjuran Persatuan Pengguna Bersepada Malaysia.. 07/07/2018 10.00 pg - 5.00 ptg Lokasi di Pearl Point Shopping Mall..Harap semua orang dapat hadir.sukarelawan juga diperlukan.sila hubungi kami diatas talian 013218 8181. Terima kasih

#jeffreylau",,,,1.0,https://pbs.twimg.com/media/DfFm0diUwAA6BLD?format=jpg&name=900x900,https://twitter.com/jeffreylautt/status/1004697351674458112
248,PusatDarahNegara,@PDNKKM,2018-06-06T13:00:42.000Z,"Saksikan Temu Bual Secara Langsung Bersama Selamat Pagi Malaysia (SPM) di TV1

Topik : Derma Darah di Bulan Puasa
Tarikh : 7 Jun 2018 (Khamis)
Masa : 8.30 pagi

#jomdermadarah
#perangimitos",,,10.0,2.0,https://pbs.twimg.com/media/DfAol3QW4AAfWcl?format=jpg&name=small,https://twitter.com/PDNKKM/status/1004347349685194752
249,Malaysia Aktif,@malaysia_aktif,2018-06-04T07:19:34.000Z,"HWKKL, Jakel Galak Masyarakat Derma Darah Pada Bulan Ramadan https://malaysiaaktif.my/malaysiaaktif2/?p=44301…",,,,,,https://twitter.com/malaysia_aktif/status/1003536725467992064
250,Aindallamya,@AdliHanif_,2018-06-06T08:24:22.000Z,"Replying to 
@shzchrh
 and 
@elishazchrhTapi kalau Malaysian duk Europe lama, bila balik Malaysia ada satu period dia tak boleh derma darah.",,1.0,,,,https://twitter.com/AdliHanif_/status/1004277806597959685
251,BloodBankHUS,@BloodBankHUS,2018-06-06T13:45:56.000Z,"Saksikan Temu Bual Secara Langsung Bersama Selamat Pagi Malaysia (SPM) di TV1

Topik : Derma Darah di Bulan Puasa
Tarikh : 7 Jun 2018 (Khamis)
Masa : 8.30 pagi

#jomdermadarah
#perangimitos https://facebook.com/story.php?story_fbid=1760136880737597&id=424945644256734…",,,,,,https://twitter.com/BloodBankHUS/status/1004358733193936896
252,Alveu Cosmetics,@AlveuCosmetics,2018-06-06T21:49:06.000Z,"RT KKMPutrajaya ""RT PDNKKM: Saksikan Temu Bual Secara Langsung Bersama Selamat Pagi Malaysia (SPM) di TV1

Topik : Derma Darah di Bulan Puasa
Tarikh : 7 Jun 2018 (Khamis)
Masa : 8.30 pagi

#jomdermadarah
#perangimitos "" #beauty #beautyblogger #instabea…",,,,,https://pbs.twimg.com/media/DfAol3QW4AAfWcl?format=jpg&name=small,https://twitter.com/AlveuCosmetics/status/1004480323676188672
